@RELATION campuslens_complaints

@ATTRIBUTE complaint STRING
@ATTRIBUTE zone STRING
@ATTRIBUTE facility STRING
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'student common area is overcrowded after 13 00 students cannot continue class','General & Utilities','Administration Block',13,69,53,4,Other
'network authentication fails for students around cl3','Academic & Teaching','CL3',12,73,63,3,Network
'very weak wifi signal on floor 3 of cl3','Academic & Teaching','CL3',10,41,59,2,Network
'unclassified campus issue reported around main gate','Administration','Main Gate',18,83,20,3,Other
'projector in cl22 switches off after ten minutes please fix urgently','Academic & Teaching','A2/1',12,45,53,4,Infrastructure
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,75,47,1,Canteen
'internet disconnects repeatedly during the lecture in ff6','Library & Study','CL3',14,95,49,2,Network
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',13,54,77,2,Canteen
'very weak wifi signal on floor 4 of cl3','Library & Study','CL3',10,58,74,4,Network
'washroom near cs1 has not been cleaned today','Hostels','Washrooms',8,59,43,3,Cleanliness
'garbage is overflowing in the corridor on floor 3','Academic & Teaching','Washrooms',14,55,50,4,Cleanliness
'very weak wifi signal on ground floor of lrc','Labs & Research','LRC',9,82,47,1,Network
'classroom door and several chairs need repair on floor 4','Academic & Teaching','A2/2',16,42,64,4,Infrastructure
'three lab systems freeze during compilation in g2 near a water cooler','Labs & Research','CL15',17,75,61,2,Cleanliness
'very weak wifi signal on ground floor of cl15','Labs & Research','CL15',14,86,54,3,Network
'waiting time at cafeteria / canteen is more than twenty minutes after a power interruption','Food','Cafeteria / Canteen',13,72,62,3,Canteen
'monitor and keyboard are not detected at workstation in g2','Labs & Research','CL1',10,78,24,4,Lab_Equipment
'two ceiling fans are not working in cs1 this happens repeatedly','Hostels','H5 Boys Hostel',12,45,82,1,Electrical
'laboratory equipment reports a calibration error in cr425','Labs & Research','ECE Labs',13,56,78,2,Lab_Equipment
'garbage is overflowing in the corridor on floor 3 while the wifi is also unstable','Hostels','Washrooms',9,85,37,3,Cleanliness
'computer fails to boot during practical class in ts17','Labs & Research','CL3',9,58,57,3,Lab_Equipment
'air conditioner stops cooling after noon on floor 1 beside the canteen queue','Hostels','A2/1',8,52,73,2,Electrical
'drinking water cooler near cl15 is empty','Sports & Recreation','Water cooler',11,46,54,1,Water
'classroom door and several chairs need repair on floor 4','Labs & Research','A2/2',18,47,40,5,Infrastructure
'waiting time at annapurna / main mess is more than twenty minutes students cannot continue class','Food','Annapurna / Main Mess',12,87,52,3,Canteen
'very weak wifi signal on floor 2 of aryabhatt bhawan ii please fix urgently','Labs & Research','Aryabhatt Bhawan II',14,86,67,3,Network
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,69,40,2,Canteen
'monitor and keyboard are not detected at workstation in cl22','Labs & Research','CL3',12,47,71,5,Lab_Equipment
'low water pressure reported around water cooler this happens repeatedly','Sports & Recreation','Water cooler',15,65,66,4,Water
'projector hdmi port is loose in cs1 this happens repeatedly','Labs & Research','A2/1',12,44,41,3,Infrastructure
'two ceiling fans are not working in cr425','Labs & Research','A2/1',8,44,59,3,Infrastructure
'wifi becomes extremely slow near cs1 between 11 00 and 13 00 please fix urgently','Library & Study','CL3',11,71,47,2,Network
'drinking water cooler near cr425 is empty','General & Utilities','Girls Hostel',11,66,69,3,Water
'power socket near the desk is unsafe in cs1','Labs & Research','H5 Boys Hostel',9,63,63,2,Electrical
'three lab systems freeze during compilation in cl22 while the wifi is also unstable','Labs & Research','CL1',9,62,37,2,Lab_Equipment
'wifi becomes extremely slow near g2 between 14 00 and 16 00','Library & Study','Aryabhatt Bhawan II',14,76,52,3,Water
'very weak wifi signal on ground floor of aryabhatt bhawan ii this happens repeatedly','Academic & Teaching','Aryabhatt Bhawan II',10,100,80,3,Network
'broken writing desk is blocking the aisle in cl15 and the room is overcrowded','Academic & Teaching','Aryabhatt Bhawan II',13,66,22,2,Infrastructure
'laboratory equipment reports a calibration error in cl15','Labs & Research','ECE Labs',17,49,96,3,Canteen
'canteen queue is very long at 13 00 with one counter open students cannot continue class','Food','Cafeteria / Canteen',13,68,64,2,Canteen
'wifi becomes extremely slow near ts17 between 14 00 and 16 00','Labs & Research','CL15',14,92,65,3,Network
'classroom door and several chairs need repair on floor 2','Labs & Research','CL3',16,59,65,3,Infrastructure
'classroom door and several chairs need repair on floor 4','Labs & Research','A2/2',12,60,48,2,Infrastructure
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',14,88,64,4,Canteen
'unclassified campus issue reported around main gate students cannot continue class','General & Utilities','Main Gate',16,52,50,2,Other
'wifi becomes extremely slow near cs1 between 12 00 and 14 00','Library & Study','CL3',12,43,41,3,Network
'low water pressure reported around girls hostel','Sports & Recreation','Girls Hostel',11,57,74,4,Water
'classroom door and several chairs need repair on floor 3','Labs & Research','A2/2',15,67,58,2,Infrastructure
'broken writing desk is blocking the aisle in cl3','Academic & Teaching','A2/1',16,71,52,5,Infrastructure
'garbage is overflowing in the corridor on ground floor','Hostels','H4 Boys Hostel',10,43,46,1,Cleanliness
'internet disconnects repeatedly during the lecture in cl15 this happens repeatedly','Academic & Teaching','CL15',10,50,34,1,Network
'food counter is overcrowded between 12 00 and 14 00','Food','Annapurna / Main Mess',12,56,79,4,Canteen
'laboratory equipment reports a calibration error in ts17','Labs & Research','CL15',13,40,43,3,Lab_Equipment
'computer fails to boot during practical class in g2','Labs & Research','CL3',16,63,48,1,Lab_Equipment
'garbage is overflowing in the corridor on floor 4','Academic & Teaching','Washrooms',14,89,84,3,Cleanliness
'three lab systems freeze during compilation in cl15 students cannot continue class','Labs & Research','CL1',18,66,53,3,Lab_Equipment
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',14,70,52,3,Electrical
'broken writing desk is blocking the aisle in cr425','Academic & Teaching','Aryabhatt Bhawan II',8,35,67,4,Infrastructure
'washroom near cl15 has not been cleaned today','Academic & Teaching','H4 Boys Hostel',16,37,39,3,Cleanliness
'computer fails to boot during practical class in ts17','Labs & Research','CL1',13,45,40,2,Lab_Equipment
'broken writing desk is blocking the aisle in cr425','Academic & Teaching','A2/1',10,57,40,2,Infrastructure
'classroom door and several chairs need repair on floor 1 near a water cooler','Labs & Research','Aryabhatt Bhawan II',11,34,74,3,Infrastructure
'washroom near ff6 has not been cleaned today','General & Utilities','Aryabhatt Bhawan III',10,70,53,1,Cleanliness
'internet disconnects repeatedly during the lecture in cl15 students cannot continue class','Library & Study','CL3',10,72,57,3,Network
'network authentication fails for students around cl3','Library & Study','CL3',12,83,90,3,Network
'internet disconnects repeatedly during the lecture in cl22 please fix urgently','Labs & Research','CL3',9,93,58,3,Network
'internet disconnects repeatedly during the lecture in cl3','Library & Study','CL15',10,77,50,2,Water
'washroom near cl15 has not been cleaned today','Academic & Teaching','H4 Boys Hostel',10,23,56,4,Cleanliness
'three lab systems freeze during compilation in cl22','Labs & Research','CL15',18,37,40,3,Lab_Equipment
'broken writing desk is blocking the aisle in cl15','Labs & Research','CL3',17,52,77,5,Infrastructure
'network authentication fails for students around aryabhatt bhawan ii please fix urgently','Library & Study','Aryabhatt Bhawan II',11,73,27,5,Network
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Academic & Teaching','CL15',9,100,75,2,Network
'laboratory equipment reports a calibration error in cl22','Labs & Research','ECE Labs',12,46,57,2,Lab_Equipment
'spill outside ts17 creates a safety hazard while the wifi is also unstable','General & Utilities','H4 Boys Hostel',14,53,74,1,Cleanliness
'unclassified campus issue reported around parking this happens repeatedly','Administration','Parking',15,41,47,2,Other
'broken writing desk is blocking the aisle in ts17','Labs & Research','Aryabhatt Bhawan II',14,48,54,4,Infrastructure
'wifi becomes extremely slow near cl22 between 14 00 and 16 00 please fix urgently','Labs & Research','Aryabhatt Bhawan II',14,43,43,1,Network
'internet disconnects repeatedly during the lecture in g2 near a water cooler','Academic & Teaching','CL15',10,88,42,3,Network
'network authentication fails for students around cl3','Labs & Research','CL3',12,81,83,1,Network
'computer fails to boot during practical class in ff6 please fix urgently','Labs & Research','CL3',11,62,68,3,Lab_Equipment
'floor near aryabhatt bhawan iii is dirty and slippery','General & Utilities','Aryabhatt Bhawan III',17,38,56,5,Cleanliness
'laboratory equipment reports a calibration error in cs1','Labs & Research','CL1',15,38,91,3,Lab_Equipment
'billing queue reaches the stairwell near annapurna / main mess students cannot continue class','Food','Annapurna / Main Mess',13,60,34,1,Canteen
'classroom door and several chairs need repair on ground floor','Academic & Teaching','A2/1',12,95,63,1,Infrastructure
'air conditioner stops cooling after noon on floor 1','Hostels','A2/1',18,45,63,3,Electrical
'canteen queue is very long at 14 00 with one counter open','Food','Cafeteria / Canteen',14,72,50,3,Canteen
'classroom door and several chairs need repair on floor 4','Labs & Research','A2/1',10,85,49,4,Infrastructure
'food counter is overcrowded between 13 00 and 15 00','Food','Cafeteria / Canteen',13,83,57,5,Other
'floor near washrooms is dirty and slippery while the wifi is also unstable','General & Utilities','Washrooms',18,22,89,3,Cleanliness
'computer fails to boot during practical class in g2','Labs & Research','CL3',17,41,64,3,Lab_Equipment
'internet disconnects repeatedly during the lecture in cr425 please fix urgently','Labs & Research','CL3',10,68,70,2,Network
'internet disconnects repeatedly during the lecture in cs1','Academic & Teaching','LRC',10,100,68,1,Network
'projector hdmi port is loose in ff6','Academic & Teaching','CL3',16,54,67,2,Infrastructure
'broken writing desk is blocking the aisle in cr425','Labs & Research','A2/2',11,40,26,1,Electrical
'very weak wifi signal on floor 3 of cl3 while the wifi is also unstable','Library & Study','CL3',10,95,56,2,Network
'very weak wifi signal on floor 4 of cl3 after a power interruption','Academic & Teaching','CL3',10,86,37,4,Network
'washroom near g2 has not been cleaned today this happens repeatedly near a water cooler','General & Utilities','Washrooms',9,67,41,3,Cleanliness
'network authentication fails for students around aryabhatt bhawan ii students cannot continue class','Academic & Teaching','Aryabhatt Bhawan II',10,70,41,2,Network
'power socket near the desk is unsafe in cl22','Labs & Research','CL22',13,47,44,2,Electrical
'wifi becomes extremely slow near cl22 between 9 00 and 11 00 beside the canteen queue','Library & Study','LRC',9,91,66,5,Infrastructure
'projector hdmi port is loose in g2 near a water cooler','Academic & Teaching','CL3',13,72,20,2,Infrastructure
'classroom door and several chairs need repair on floor 1','Academic & Teaching','A2/2',12,68,60,2,Infrastructure
'broken writing desk is blocking the aisle in cr425','Academic & Teaching','A2/1',9,31,57,3,Infrastructure
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,53,47,1,Canteen
'broken writing desk is blocking the aisle in cl22','Labs & Research','Aryabhatt Bhawan II',13,53,29,4,Infrastructure
'monitor and keyboard are not detected at workstation in cl3','Labs & Research','ECE Labs',16,93,58,3,Lab_Equipment
'laboratory equipment reports a calibration error in g2','Labs & Research','CL1',16,71,25,4,Lab_Equipment
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',13,97,48,5,Canteen
'projector hdmi port is loose in ts17','Academic & Teaching','A2/2',18,38,54,5,Infrastructure
'drinking water cooler near cs1 is empty','Hostels','Swimming Pool',17,43,82,2,Water
'wifi becomes extremely slow near cl22 between 10 00 and 12 00 near a water cooler','Labs & Research','CL3',10,83,36,4,Network
'waiting time at annapurna / main mess is more than twenty minutes students cannot continue class','Food','Annapurna / Main Mess',13,75,49,5,Canteen
'internet disconnects repeatedly during the lecture in cl15 after a power interruption','Academic & Teaching','CL3',14,57,30,1,Network
'projector hdmi port is loose in cl15','Academic & Teaching','CL3',13,66,53,4,Infrastructure
'two ceiling fans are not working in cs1','Hostels','A2/1',18,84,65,2,Electrical
'projector in g2 switches off after ten minutes near a water cooler','Labs & Research','CL3',9,54,34,2,Infrastructure
'internet disconnects repeatedly during the lecture in cs1','Labs & Research','CL15',11,81,50,2,Network
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',10,39,80,4,Cleanliness
'water point near girls hostel is not operational','General & Utilities','Girls Hostel',14,33,61,2,Water
'broken writing desk is blocking the aisle in ts17','Academic & Teaching','A2/2',16,65,66,1,Infrastructure
'laboratory equipment reports a calibration error in ts17','Labs & Research','ECE Labs',18,63,28,2,Lab_Equipment
'garbage is overflowing in the corridor on floor 3','Hostels','Aryabhatt Bhawan III',13,45,68,3,Cleanliness
'spill outside ff6 creates a safety hazard beside the canteen queue','General & Utilities','Washrooms',11,45,50,1,Cleanliness
'computer fails to boot during practical class in cl15','Labs & Research','CL3',18,50,84,2,Lab_Equipment
'garbage is overflowing in the corridor on ground floor and the room is overcrowded','General & Utilities','H4 Boys Hostel',18,29,74,2,Lab_Equipment
'wifi becomes extremely slow near cr425 between 11 00 and 13 00','Library & Study','CL3',11,93,59,3,Network
'very weak wifi signal on ground floor of cl3','Library & Study','CL3',11,91,47,1,Network
'floor near washrooms is dirty and slippery','Hostels','Washrooms',8,48,53,3,Cleanliness
'monitor and keyboard are not detected at workstation in g2 near a water cooler','Labs & Research','CL1',8,69,65,3,Lab_Equipment
'power socket near the desk is unsafe in ts17','Academic & Teaching','A2/1',12,56,73,3,Electrical
'food counter is overcrowded between 14 00 and 16 00','Food','Annapurna / Main Mess',14,63,43,2,Canteen
'projector hdmi port is loose in ff6 while the wifi is also unstable','Labs & Research','Aryabhatt Bhawan II',17,43,70,4,Infrastructure
'classroom door and several chairs need repair on floor 2','Academic & Teaching','CL3',9,42,41,4,Infrastructure
'classroom door and several chairs need repair on floor 1','Academic & Teaching','A2/2',18,50,20,3,Infrastructure
'garbage is overflowing in the corridor on ground floor near a water cooler','Hostels','H4 Boys Hostel',8,89,51,4,Cleanliness
'broken writing desk is blocking the aisle in cl15','Labs & Research','A2/1',13,82,64,2,Infrastructure
'network authentication fails for students around aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,86,70,5,Network
'broken writing desk is blocking the aisle in cl3','Labs & Research','Aryabhatt Bhawan II',8,56,57,2,Infrastructure
'power socket near the desk is unsafe in ts17','Academic & Teaching','CL22',10,53,71,3,Electrical
'wifi becomes extremely slow near cl22 between 14 00 and 16 00','Library & Study','Aryabhatt Bhawan II',14,92,67,3,Network
'waiting time at cafeteria / canteen is more than twenty minutes','Food','Cafeteria / Canteen',13,68,72,3,Canteen
'projector hdmi port is loose in cl3 this happens repeatedly','Labs & Research','A2/2',12,70,51,5,Infrastructure
'drinking water cooler near cl22 is empty','Sports & Recreation','Girls Hostel',18,69,64,5,Water
'classroom door and several chairs need repair on floor 2','Academic & Teaching','Aryabhatt Bhawan II',16,55,65,3,Network
'air conditioner stops cooling after noon on floor 1','Academic & Teaching','CL22',11,87,79,4,Electrical
'two ceiling fans are not working in ts17 after a power interruption','Hostels','A2/1',13,34,40,2,Electrical
'three lab systems freeze during compilation in cs1','Labs & Research','CL15',9,77,56,2,Lab_Equipment
'canteen queue is very long at 12 00 with one counter open','Food','Annapurna / Main Mess',12,62,75,2,Canteen
'lights flicker repeatedly inside ts17','Labs & Research','CL22',12,55,71,2,Electrical
'air conditioner stops cooling after noon on floor 4 this happens repeatedly','Labs & Research','CL22',16,87,71,3,Electrical
'broken writing desk is blocking the aisle in cs1','Labs & Research','A2/1',12,81,60,3,Infrastructure
'washroom near ts17 has not been cleaned today','General & Utilities','Washrooms',9,89,64,1,Cleanliness
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',11,49,92,1,Electrical
'network authentication fails for students around cl3','Labs & Research','CL3',10,60,44,1,Network
'wifi becomes extremely slow near ff6 between 9 00 and 11 00','Library & Study','CL15',9,87,74,1,Network
'wifi becomes extremely slow near cl22 between 10 00 and 12 00','Academic & Teaching','CL15',10,61,84,4,Network
'internet disconnects repeatedly during the lecture in ff6','Library & Study','Aryabhatt Bhawan II',10,100,48,3,Network
'floor near h4 boys hostel is dirty and slippery','Academic & Teaching','H4 Boys Hostel',16,75,96,1,Cleanliness
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',11,78,48,2,Network
'water point near water cooler is not operational','General & Utilities','Water cooler',18,49,93,1,Water
'very weak wifi signal on floor 2 of cl15 after a power interruption','Labs & Research','CL15',11,100,38,3,Network
'canteen queue is very long at 13 00 with one counter open','Food','Annapurna / Main Mess',13,93,46,3,Canteen
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,68,59,4,Canteen
'network authentication fails for students around cl15','Labs & Research','CL15',9,54,67,4,Network
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','ECE Labs',17,73,34,1,Lab_Equipment
'internet disconnects repeatedly during the lecture in cr425','Library & Study','CL15',11,86,53,4,Network
'broken writing desk is blocking the aisle in cl3','Academic & Teaching','A2/2',12,42,96,2,Infrastructure
'water point near water cooler is not operational','General & Utilities','Water cooler',8,57,70,4,Water
'floor near washrooms is dirty and slippery','General & Utilities','Washrooms',16,78,20,3,Cleanliness
'network authentication fails for students around aryabhatt bhawan ii','Academic & Teaching','Aryabhatt Bhawan II',10,100,72,1,Lab_Equipment
'signage is missing for cs1 on floor 2','Sports & Recreation','Parking',8,59,29,4,Other
'network authentication fails for students around cl15 please fix urgently','Academic & Teaching','CL15',14,81,40,1,Network
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,100,20,4,Canteen
'internet disconnects repeatedly during the lecture in ts17','Academic & Teaching','CL3',10,68,35,3,Network
'monitor and keyboard are not detected at workstation in ff6','Labs & Research','CL1',16,48,46,3,Lab_Equipment
'projector in ts17 switches off after ten minutes','Academic & Teaching','A2/2',14,72,56,2,Infrastructure
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',12,66,36,2,Canteen
'student common area is overcrowded after 8 00','General & Utilities','Administration Block',8,56,59,3,Other
'projector in cl22 switches off after ten minutes this happens repeatedly','Labs & Research','A2/2',12,52,51,3,Infrastructure
'spill outside cl3 creates a safety hazard this happens repeatedly after a power interruption','General & Utilities','Aryabhatt Bhawan III',14,39,69,1,Cleanliness
'billing queue reaches the stairwell near cafeteria / canteen this happens repeatedly','Food','Cafeteria / Canteen',13,54,42,4,Canteen
'network authentication fails for students around aryabhatt bhawan ii','Labs & Research','Aryabhatt Bhawan II',10,75,75,1,Network
'floor near aryabhatt bhawan iii is dirty and slippery after a power interruption','General & Utilities','Aryabhatt Bhawan III',9,54,33,1,Cleanliness
'air conditioner stops cooling after noon on floor 3','Hostels','H5 Boys Hostel',8,33,47,1,Electrical
'internet disconnects repeatedly during the lecture in g2','Labs & Research','CL15',9,64,57,2,Other
'three lab systems freeze during compilation in cl3','Labs & Research','ECE Labs',12,96,83,1,Lab_Equipment
'wifi becomes extremely slow near ts17 between 11 00 and 13 00','Library & Study','LRC',11,91,20,4,Network
'waiting time at annapurna / main mess is more than twenty minutes','Food','Annapurna / Main Mess',13,95,37,2,Canteen
'internet disconnects repeatedly during the lecture in g2','Labs & Research','LRC',12,75,81,2,Other
'low water pressure reported around girls hostel','General & Utilities','Girls Hostel',17,71,92,1,Cleanliness
'internet disconnects repeatedly during the lecture in g2 students cannot continue class and the room is overcrowded','Labs & Research','CL3',14,50,64,2,Network
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',14,92,42,2,Canteen
'lights flicker repeatedly inside cl22','Academic & Teaching','A2/1',15,47,84,2,Network
'spill outside ff6 creates a safety hazard near a water cooler','General & Utilities','Aryabhatt Bhawan III',15,43,47,1,Cleanliness
'laboratory equipment reports a calibration error in cr425 beside the canteen queue','Labs & Research','ECE Labs',14,63,43,3,Lab_Equipment
'broken writing desk is blocking the aisle in cs1','Labs & Research','A2/1',14,45,29,2,Infrastructure
'water point near girls hostel is not operational','Sports & Recreation','Girls Hostel',14,49,40,4,Water
'three lab systems freeze during compilation in ts17','Labs & Research','CL3',18,73,54,1,Lab_Equipment
'computer fails to boot during practical class in cl22','Labs & Research','CL15',12,56,40,4,Lab_Equipment
'computer fails to boot during practical class in cl22','Labs & Research','CL22',9,47,33,2,Lab_Equipment
'wifi becomes extremely slow near cl3 between 10 00 and 12 00 after a power interruption','Labs & Research','Aryabhatt Bhawan II',10,77,59,2,Network
'wifi becomes extremely slow near ts17 between 11 00 and 13 00','Library & Study','CL15',11,73,65,3,Network
'low water pressure reported around water cooler','Sports & Recreation','Water cooler',8,29,82,5,Water
'wifi becomes extremely slow near cl15 between 10 00 and 12 00 beside the canteen queue','Labs & Research','CL15',10,82,44,3,Network
'three lab systems freeze during compilation in cl15','Labs & Research','CL15',9,63,43,1,Lab_Equipment
'classroom door and several chairs need repair on floor 1','Labs & Research','CL3',9,51,63,3,Infrastructure
'projector hdmi port is loose in cl22','Labs & Research','Aryabhatt Bhawan II',9,83,60,3,Infrastructure
'washroom near ts17 has not been cleaned today while the wifi is also unstable','Academic & Teaching','H4 Boys Hostel',14,45,73,3,Cleanliness
'food counter is overcrowded between 14 00 and 16 00','Food','Cafeteria / Canteen',14,94,29,1,Canteen
'broken writing desk is blocking the aisle in cs1 this happens repeatedly','Labs & Research','CL3',9,51,31,2,Infrastructure
'parking congestion blocks the entrance near parking','Administration','Parking',9,29,46,2,Other
'drinking water cooler near cl3 is empty','Hostels','Water cooler',18,88,81,3,Water
'food counter is overcrowded between 12 00 and 14 00 near a water cooler','Food','Cafeteria / Canteen',12,76,53,4,Canteen
'billing queue reaches the stairwell near annapurna / main mess','Food','Annapurna / Main Mess',12,100,45,1,Canteen
'laboratory equipment reports a calibration error in cl3 this happens repeatedly','Labs & Research','ECE Labs',18,43,82,2,Lab_Equipment
'broken writing desk is blocking the aisle in cr425','Academic & Teaching','A2/2',12,54,38,3,Infrastructure
'student common area is overcrowded after 11 00','General & Utilities','Main Gate',11,72,35,3,Other
'power socket near the desk is unsafe in cs1','Academic & Teaching','A2/1',14,63,96,3,Electrical
'very weak wifi signal on floor 3 of cl15','Labs & Research','CL15',12,55,40,2,Network
'broken writing desk is blocking the aisle in g2 after a power interruption','Labs & Research','A2/1',15,48,57,2,Infrastructure
'garbage is overflowing in the corridor on floor 4 students cannot continue class','Hostels','Washrooms',18,37,35,4,Cleanliness
'wifi becomes extremely slow near cl22 between 10 00 and 12 00','Library & Study','LRC',10,100,53,4,Network
'computer fails to boot during practical class in cl22 this happens repeatedly','Labs & Research','CL22',9,25,61,3,Lab_Equipment
'network authentication fails for students around lrc this happens repeatedly and the room is overcrowded','Academic & Teaching','LRC',10,62,55,2,Network
'computer fails to boot during practical class in cr425','Labs & Research','CL1',12,20,38,3,Lab_Equipment
'network authentication fails for students around cl15','Academic & Teaching','CL15',10,71,67,1,Network
'floor near h4 boys hostel is dirty and slippery','General & Utilities','H4 Boys Hostel',12,78,52,1,Cleanliness
'network authentication fails for students around aryabhatt bhawan ii while the wifi is also unstable','Labs & Research','Aryabhatt Bhawan II',10,70,42,2,Electrical
'very weak wifi signal on ground floor of cl15 this happens repeatedly','Labs & Research','CL15',10,87,58,2,Network
'internet disconnects repeatedly during the lecture in cr425','Labs & Research','CL15',10,72,58,1,Network
'computer fails to boot during practical class in g2','Labs & Research','CL1',17,65,38,4,Lab_Equipment
'power socket near the desk is unsafe in g2','Hostels','CL22',14,63,61,5,Electrical
'air conditioner stops cooling after noon on ground floor','Hostels','CL22',18,69,46,1,Electrical
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',14,45,53,3,Other
'projector hdmi port is loose in cl15','Labs & Research','CL3',14,69,61,2,Infrastructure
'canteen queue is very long at 12 00 with one counter open near a water cooler','Food','Annapurna / Main Mess',12,68,32,1,Electrical
'very weak wifi signal on ground floor of lrc','Library & Study','LRC',14,89,58,1,Network
'network authentication fails for students around lrc','Academic & Teaching','LRC',14,73,58,1,Network
'washroom near cl22 has not been cleaned today','Hostels','Washrooms',14,24,48,3,Cleanliness
'billing queue reaches the stairwell near cafeteria / canteen near a water cooler','Food','Cafeteria / Canteen',13,87,47,2,Canteen
'student common area is overcrowded after 11 00 beside the canteen queue','Administration','Auditorium',11,95,42,3,Other
'power socket near the desk is unsafe in cl3','Hostels','A2/1',17,43,61,3,Electrical
'internet disconnects repeatedly during the lecture in g2 please fix urgently','Academic & Teaching','CL15',11,81,45,1,Network
'washroom near cl3 has not been cleaned today beside the canteen queue','Academic & Teaching','H4 Boys Hostel',9,36,56,3,Cleanliness
'classroom door and several chairs need repair on floor 2 while the wifi is also unstable','Labs & Research','A2/2',15,63,63,3,Infrastructure
'very weak wifi signal on floor 4 of cl3 near a water cooler','Library & Study','CL3',14,88,30,3,Network
'lights flicker repeatedly inside ts17','Academic & Teaching','A2/1',8,42,58,1,Electrical
'parking congestion blocks the entrance near parking','Administration','Parking',18,68,39,1,Other
'monitor and keyboard are not detected at workstation in cr425','Labs & Research','CL1',11,76,48,3,Lab_Equipment
'wifi becomes extremely slow near g2 between 14 00 and 16 00','Labs & Research','CL3',14,61,44,3,Network
'canteen queue is very long at 14 00 with one counter open after a power interruption','Food','Cafeteria / Canteen',14,91,39,4,Canteen
'wifi becomes extremely slow near cl3 between 10 00 and 12 00','Library & Study','CL3',10,93,40,2,Network
'projector hdmi port is loose in cl3','Labs & Research','A2/1',10,15,33,2,Infrastructure
'unclassified campus issue reported around auditorium','Sports & Recreation','Auditorium',13,55,59,1,Other
'very weak wifi signal on floor 4 of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',9,72,30,2,Network
'classroom door and several chairs need repair on floor 3 this happens repeatedly','Academic & Teaching','CL3',17,28,63,2,Infrastructure
'garbage is overflowing in the corridor on ground floor near a water cooler','Academic & Teaching','Washrooms',14,28,88,1,Cleanliness
'drinking water cooler near cr425 is empty','Hostels','Water cooler',16,86,65,1,Water
'internet disconnects repeatedly during the lecture in ff6','Academic & Teaching','CL3',11,86,66,5,Network
'laboratory equipment reports a calibration error in ff6','Labs & Research','CL1',10,61,77,3,Lab_Equipment
'internet disconnects repeatedly during the lecture in ff6','Library & Study','Aryabhatt Bhawan II',11,63,86,3,Network
'wifi becomes extremely slow near g2 between 14 00 and 16 00','Academic & Teaching','CL3',14,66,45,2,Network
'water is leaking into the corridor on ground floor','General & Utilities','Water cooler',18,17,71,4,Water
'floor near aryabhatt bhawan iii is dirty and slippery','General & Utilities','Aryabhatt Bhawan III',9,63,36,3,Cleanliness
'projector hdmi port is loose in ts17 and the room is overcrowded','Labs & Research','A2/1',14,36,40,1,Infrastructure
'wifi becomes extremely slow near g2 between 9 00 and 11 00 please fix urgently while the wifi is also unstable','Labs & Research','Aryabhatt Bhawan II',9,54,63,3,Network
'broken writing desk is blocking the aisle in g2','Academic & Teaching','A2/2',11,49,57,1,Infrastructure
'internet disconnects repeatedly during the lecture in g2 students cannot continue class','Library & Study','Aryabhatt Bhawan II',10,50,49,4,Network
'very weak wifi signal on ground floor of aryabhatt bhawan ii','Library & Study','Aryabhatt Bhawan II',12,52,55,4,Network
'low water pressure reported around swimming pool','General & Utilities','Swimming Pool',18,49,76,1,Water
'floor near h4 boys hostel is dirty and slippery and the room is overcrowded','General & Utilities','H4 Boys Hostel',13,61,58,2,Cleanliness
'water point near girls hostel is not operational','Sports & Recreation','Girls Hostel',15,71,84,3,Water
'billing queue reaches the stairwell near cafeteria / canteen this happens repeatedly and the room is overcrowded','Food','Cafeteria / Canteen',13,71,55,5,Canteen
'billing queue reaches the stairwell near cafeteria / canteen','Food','Cafeteria / Canteen',13,67,51,2,Cleanliness
'two ceiling fans are not working in ff6','Academic & Teaching','CL22',15,77,64,1,Electrical
