@RELATION campuslens_complaints_v2

@ATTRIBUTE complaint STRING
@ATTRIBUTE facility_type {academic,lab,library,food,hostel,office,common,outdoor,utility,sports}
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE occupancy NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE impact NUMERIC
@ATTRIBUTE category {Network,Infrastructure,Cleanliness,Canteen,Electrical,Lab_Equipment,Water,Other}

@DATA
'for the second time this week the wired connection cannot reach institute services in cr102 after normal troubleshooting was attempted while another campus service remains normal at 14:06 case 1275',academic,14,100,70,4,Network
'for the second time this week water is collecting beneath the dispenser in washroom 1 the water service needs attention and staff assistance has been requested at 10:15 case 1277',utility,10,60,64,5,Water
'please investigate because parking congestion is blocking access in food court during a regular teaching period and the issue lasts more than ten minutes at 12:02 case 1278',food,12,48,29,2,Other
'staff were informed that dust and litter remain around the workstations in g2 and staff assistance has been requested and the issue lasts more than ten minutes at 16:24 case 1279',academic,16,74,56,2,Cleanliness
'a repeated observation is that the queue extends into the walking area in washroom g the food service operation is affected and the issue lasts more than ten minutes at 14:26 case 1281',utility,14,63,80,2,Canteen
'students report that only one billing counter is open during the rush in billing counter while the area is moderately occupied and the condition has become more frequent at 17:53 case 1282',food,17,70,66,1,Canteen
'students report that several desks have loose or damaged fittings in cr101 the physical infrastructure needs attention during a regular teaching period at 12:49 case 1283',academic,12,55,45,2,Infrastructure
'staff were informed that a tap continues running after it is closed in washroom g and several students are affected and several students are affected at 17:12 case 1284',utility,17,90,52,2,Water
'for the second time this week the lecture-room screen does not lower correctly in cl1-b while the area is moderately occupied and the issue lasts more than ten minutes at 18:17 case 1285',lab,18,61,74,2,Electrical
'during the latest session students cannot authenticate to the wireless network in cl3-a although nearby rooms remain usable during a regular teaching period at 8:08 case 1286',lab,8,83,53,2,Network
'for the second time this week the device driver is missing from the workstation in h5 common room laboratory equipment availability is affected and the condition has become more frequent at 10:48 case 1287',hostel,10,77,60,4,Lab_Equipment
'a repeated observation is that a power socket is loose and unsafe in digital area and several students are affected although nearby rooms remain usable at 18:18 case 1288',library,18,56,70,4,Electrical
'please investigate because several systems freeze during compilation in basketball court laboratory equipment availability is affected near the main entrance to the space at 14:24 case 1289',sports,14,94,32,3,Lab_Equipment
'please investigate because the service queue is moving very slowly in ts11 the food service operation is affected while another campus service remains normal at 13:40 case 1291',academic,13,50,72,2,Canteen
'a repeated observation is that internet speed falls below a usable level in gym the network service is affected and the condition has become more frequent at 10:32 case 1292',sports,10,84,47,2,Network
'today we noticed that the refill indicator has remained empty in cl3-b although nearby rooms remain usable while another campus service remains normal at 17:42 case 1294',lab,17,74,50,3,Water
'staff were informed that online resources time out during the session in cs2 the network service is affected and the issue lasts more than ten minutes at 9:47 case 1295',academic,9,44,50,4,Electrical
'for the second time this week order processing has stopped at one counter in dining hall during a regular teaching period without any warning notice at 18:16 case 1296',food,18,58,94,5,Canteen
'staff were informed that an unattended item is obstructing the walkway in academic office campus operations are being disrupted without any warning notice at 13:06 case 1297',office,13,78,39,5,Other
'students report that several desks have loose or damaged fittings in cs2 the physical infrastructure needs attention and several students are affected at 16:46 case 1298',academic,16,57,70,5,Infrastructure
'students report that waste bins are overflowing into the corridor in cooler b after normal troubleshooting was attempted although nearby rooms remain usable at 17:29 case 1299',utility,17,75,39,2,Cleanliness
'today we noticed that charging points are unavailable in h5 corridor 1 the electrical supply needs inspection while the area is moderately occupied at 12:16 case 1300',hostel,12,75,82,2,Electrical
'a repeated observation is that a campus service is unavailable without an explanation in basketball court near the main entrance to the space while another campus service remains normal at 13:01 case 1301',sports,13,41,67,3,Other
'today we noticed that the notice board contains outdated information in ece-202 campus operations are being disrupted while another campus service remains normal at 17:17 case 1303',lab,17,94,66,3,Other
'for the second time this week order processing has stopped at one counter in food court while another campus service remains normal and staff assistance has been requested at 12:28 case 1304',food,12,79,47,4,Canteen
'a repeated observation is that the nearest water point is not operational in h4 corridor 1 although nearby rooms remain usable and the issue lasts more than ten minutes at 11:26 case 1305',hostel,11,71,46,4,Water
'today we noticed that charging points are unavailable in cl1-b the electrical supply needs inspection and it interrupts scheduled teaching at 16:30 case 1306',lab,16,61,65,2,Electrical
'students report that the air conditioner stops cooling after midday in h4 corridor 1 after normal troubleshooting was attempted and several students are affected at 13:18 case 1307',hostel,13,42,78,2,Electrical
'staff were informed that the writing surface is damaged and difficult to use in cs2 and several students are affected although nearby rooms remain usable at 13:33 case 1308',academic,13,78,65,3,Infrastructure
'today we noticed that seating capacity is insufficient during the meal break in washroom 1 the food service operation is affected and staff assistance has been requested at 8:21 case 1309',utility,8,66,67,2,Canteen
'for the second time this week the lecture-room screen does not lower correctly in h4 corridor 2 the physical infrastructure needs attention and the condition has become more frequent at 16:44 case 1310',hostel,16,27,40,3,Infrastructure
'a repeated observation is that the queue extends into the walking area in ts18 during a regular teaching period and the condition has become more frequent at 9:47 case 1311',academic,9,43,63,1,Canteen
'staff were informed that an electrical panel is making an unusual sound in cl3-a and the issue lasts more than ten minutes without any warning notice at 9:37 case 1312',lab,9,40,51,3,Electrical
'an urgent maintenance check is needed because signage for the room is missing in g2 near the main entrance to the space and it interrupts scheduled teaching at 11:31 case 1313',academic,11,79,48,2,Water
'staff were informed that the experiment console does not record readings in g2 while the area is moderately occupied near the main entrance to the space at 13:15 case 1315',academic,13,100,70,4,Lab_Equipment
'a repeated observation is that the nearest water point is not operational in cr202 the water service needs attention after normal troubleshooting was attempted at 14:58 case 1316',academic,14,78,27,2,Water
'during the latest session a spill has made the floor slippery in cs1 and staff assistance has been requested and staff assistance has been requested at 11:50 case 1317',academic,11,73,56,3,Water
'today we noticed that the corridor has a persistent hygiene problem in gym this is a hygiene and cleanliness concern and the issue lasts more than ten minutes at 12:51 case 1318',sports,12,67,55,3,Cleanliness
'during the latest session lights flicker repeatedly during use in reception the electrical supply needs inspection after normal troubleshooting was attempted at 17:34 case 1319',office,17,100,70,1,Electrical
'staff were informed that the experiment console does not record readings in ece-202 and the issue lasts more than ten minutes and the issue lasts more than ten minutes at 11:48 case 1320',lab,11,68,47,1,Lab_Equipment
'please investigate because the campus network drops repeatedly during class in cl3-b the network service is affected after normal troubleshooting was attempted at 12:19 case 1321',lab,12,40,77,2,Network
'a repeated observation is that internet speed falls below a usable level in gh common room the network service is affected and the condition has become more frequent at 9:47 case 1322',hostel,9,55,46,2,Network
'a repeated observation is that the display cable and wall port need repair in cr201 and staff assistance has been requested without any warning notice at 13:45 case 1323',academic,13,72,63,2,Infrastructure
'a repeated observation is that the nearest water point is not operational in gh common room the water service needs attention while the area is moderately occupied at 16:42 case 1324',hostel,16,47,59,1,Water
'a repeated observation is that the display cable and wall port need repair in basketball court and the issue lasts more than ten minutes and the condition has become more frequent at 13:54 case 1327',sports,13,78,70,3,Infrastructure
'today we noticed that seating capacity is insufficient during the meal break in cooler b the food service operation is affected and it interrupts scheduled teaching at 11:44 case 1328',utility,11,89,47,5,Canteen
'during the latest session students cannot authenticate to the wireless network in visitor parking while another campus service remains normal during a regular teaching period at 15:26 case 1332',outdoor,15,66,49,3,Network
'a repeated observation is that the queue extends into the walking area in ece-202 the food service operation is affected and the issue lasts more than ten minutes at 13:08 case 1334',lab,13,40,57,3,Canteen
'an urgent maintenance check is needed because signage for the room is missing in cl3-a the physical infrastructure needs attention while the area is moderately occupied at 16:30 case 1335',lab,16,44,35,2,Infrastructure
'during the latest session water pressure is too low for normal use in h5 corridor 2 while the area is moderately occupied near the main entrance to the space at 8:05 case 1336',hostel,8,85,25,1,Water
'today we noticed that the refill indicator has remained empty in ts11 the water service needs attention and it interrupts scheduled teaching at 8:04 case 1337',academic,8,72,76,3,Water
'today we noticed that network coverage disappears near the back rows in group study while another campus service remains normal after normal troubleshooting was attempted at 15:54 case 1338',library,15,63,51,3,Network
'a repeated observation is that the nearest water point is not operational in gh corridor 1 the water service needs attention and several students are affected at 9:16 case 1339',hostel,9,86,46,4,Water
'today we noticed that ceiling plaster appears loose near the entrance in h4 common room during a regular teaching period and the issue lasts more than ten minutes at 12:23 case 1341',hostel,12,94,43,3,Infrastructure
'an urgent maintenance check is needed because video lectures buffer on the campus connection in h5 common room the network service is affected without any warning notice at 17:45 case 1342',hostel,17,56,66,4,Network
'today we noticed that charging points are unavailable in ece-201 the electrical supply needs inspection without any warning notice at 8:31 case 1343',lab,8,81,53,4,Electrical
'staff were informed that an unattended item is obstructing the walkway in cl15-a campus operations are being disrupted and the issue lasts more than ten minutes at 18:53 case 1344',lab,18,72,42,3,Other
'a repeated observation is that the queue extends into the walking area in food court the food service operation is affected and several students are affected at 10:04 case 1345',food,10,62,46,2,Canteen
'a repeated observation is that a power socket is loose and unsafe in ts18 and staff assistance has been requested although nearby rooms remain usable at 17:56 case 1347',academic,17,69,60,5,Electrical
'please investigate because the campus network drops repeatedly during class in ece-201 and the condition has become more frequent and the issue lasts more than ten minutes at 15:24 case 1348',lab,15,51,28,2,Network
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in cl1-b and the condition has become more frequent without any warning notice at 8:31 case 1349',lab,8,74,48,2,Other
'for the second time this week the lecture-room screen does not lower correctly in digital area the physical infrastructure needs attention and the condition has become more frequent at 17:08 case 1350',library,17,57,48,2,Infrastructure
'please investigate because several systems freeze during compilation in washroom g and staff assistance has been requested and staff assistance has been requested at 14:38 case 1351',utility,14,71,62,3,Lab_Equipment
'a repeated observation is that a campus service is unavailable without an explanation in cl15-b campus operations are being disrupted although nearby rooms remain usable at 13:25 case 1352',lab,13,72,80,2,Water
'a repeated observation is that the queue extends into the walking area in cl15-b the food service operation is affected although nearby rooms remain usable at 13:02 case 1353',lab,13,45,38,1,Canteen
'today we noticed that seating capacity is insufficient during the meal break in h5 common room the food service operation is affected and several students are affected at 14:06 case 1354',hostel,14,43,59,1,Canteen
'during the latest session students are waiting too long for food service in dining hall the food service operation is affected and the condition has become more frequent at 12:35 case 1355',food,12,47,56,4,Canteen
'students report that several desks have loose or damaged fittings in g6 the physical infrastructure needs attention during a regular teaching period at 14:02 case 1356',academic,14,100,66,1,Infrastructure
'a repeated observation is that internet speed falls below a usable level in ece-202 while the area is moderately occupied during a regular teaching period at 12:51 case 1357',lab,12,73,30,1,Network
'for the second time this week the lecture-room screen does not lower correctly in digital area while another campus service remains normal and several students are affected at 14:03 case 1358',library,14,61,65,3,Infrastructure
'for the second time this week water is collecting beneath the dispenser in counter a the water service needs attention and the condition has become more frequent at 16:57 case 1360',food,16,75,41,4,Water
'for the second time this week the wired connection cannot reach institute services in basketball court near the main entrance to the space after normal troubleshooting was attempted at 11:44 case 1361',sports,11,67,88,4,Network
'for the second time this week the lecture-room screen does not lower correctly in reading hall the physical infrastructure needs attention although nearby rooms remain usable at 17:43 case 1362',library,17,67,47,3,Infrastructure
'during the latest session the common area is overcrowded in h4 corridor 2 campus operations are being disrupted without any warning notice at 17:45 case 1363',hostel,17,94,66,5,Other
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in ece-202 and staff assistance has been requested and the issue lasts more than ten minutes at 10:27 case 1364',lab,10,56,61,3,Lab_Equipment
'please investigate because the ceiling fans are not operating in dining hall the electrical supply needs inspection while another campus service remains normal at 11:13 case 1365',food,11,84,55,3,Electrical
'a repeated observation is that internet speed falls below a usable level in cl22-a the network service is affected and the condition has become more frequent at 12:43 case 1368',lab,12,41,46,3,Network
'a repeated observation is that laboratory equipment reports a calibration error in g2 and several students are affected and it interrupts scheduled teaching at 9:01 case 1370',academic,9,30,62,3,Lab_Equipment
'today we noticed that network coverage disappears near the back rows in g1 the network service is affected and it interrupts scheduled teaching at 10:15 case 1371',academic,10,72,67,5,Network
'staff were informed that dust and litter remain around the workstations in h4 corridor 2 and the condition has become more frequent and the issue lasts more than ten minutes at 10:10 case 1372',hostel,10,45,35,1,Cleanliness
'please investigate because the projector loses its input after a few minutes in cr102 the physical infrastructure needs attention and it interrupts scheduled teaching at 8:33 case 1373',academic,8,90,20,2,Infrastructure
'for the second time this week the wired connection cannot reach institute services in g2 the network service is affected and staff assistance has been requested at 10:51 case 1374',academic,10,58,51,2,Network
'during the latest session the classroom door cannot close safely in cl3-a during a regular teaching period and the condition has become more frequent at 12:15 case 1375',lab,12,72,48,4,Infrastructure
'an urgent maintenance check is needed because a switchboard becomes warm during operation in cs2 the electrical supply needs inspection although nearby rooms remain usable at 15:47 case 1376',academic,15,59,65,4,Electrical
'please investigate because parking congestion is blocking access in reception after normal troubleshooting was attempted while another campus service remains normal at 17:46 case 1377',office,17,65,71,4,Cleanliness
'an urgent maintenance check is needed because pedestrian movement is restricted by stored material in gate 1 campus operations are being disrupted and the condition has become more frequent at 16:46 case 1378',outdoor,16,64,71,1,Other
'during the latest session the workstation cannot boot for the practical in cl1-b laboratory equipment availability is affected after normal troubleshooting was attempted at 17:19 case 1379',lab,17,38,47,3,Lab_Equipment
'a repeated observation is that the queue extends into the walking area in cooler b the food service operation is affected and staff assistance has been requested at 11:03 case 1380',utility,11,60,59,2,Canteen
'during the latest session students cannot authenticate to the wireless network in academic office the network service is affected without any warning notice at 18:51 case 1381',office,18,65,46,2,Network
'staff were informed that dust and litter remain around the workstations in counter a without any warning notice after normal troubleshooting was attempted at 14:57 case 1382',food,14,63,37,4,Cleanliness
'during the latest session the workstation cannot boot for the practical in cr201 laboratory equipment availability is affected and the condition has become more frequent at 11:43 case 1383',academic,11,61,54,1,Lab_Equipment
'a repeated observation is that internet speed falls below a usable level in g1 the network service is affected and the condition has become more frequent at 8:22 case 1385',academic,8,61,84,1,Network
'staff were informed that the experiment console does not record readings in cl3-b and the issue lasts more than ten minutes and the issue lasts more than ten minutes at 13:36 case 1386',lab,13,78,58,3,Lab_Equipment
'today we noticed that ceiling plaster appears loose near the entrance in washroom g although nearby rooms remain usable and the issue lasts more than ten minutes at 15:55 case 1387',utility,15,61,53,2,Infrastructure
'please investigate because the drinking-water dispenser is empty in h4 common room the water service needs attention during a regular teaching period at 16:52 case 1388',hostel,16,76,75,3,Water
'please investigate because several systems freeze during compilation in ts18 laboratory equipment availability is affected while another campus service remains normal at 10:36 case 1389',academic,10,52,68,1,Lab_Equipment
'during the latest session the common area is overcrowded in washroom g while the area is moderately occupied without any warning notice at 9:00 case 1391',utility,9,66,50,1,Other
'today we noticed that charging points are unavailable in h4 corridor 1 near the main entrance to the space while another campus service remains normal at 18:22 case 1392',hostel,18,67,50,4,Electrical
'a repeated observation is that the wash area needs urgent sanitation in basketball court while the area is moderately occupied and the issue lasts more than ten minutes at 17:55 case 1393',sports,17,64,37,4,Cleanliness
'staff were informed that the experiment console does not record readings in h4 corridor 1 laboratory equipment availability is affected and the condition has become more frequent at 18:49 case 1395',hostel,18,47,38,3,Lab_Equipment
'during the latest session students are waiting too long for food service in h5 corridor 1 the food service operation is affected and several students are affected at 8:10 case 1396',hostel,8,58,72,4,Canteen
'a repeated observation is that the nearest water point is not operational in security post the water service needs attention and staff assistance has been requested at 15:02 case 1397',outdoor,15,48,44,3,Water
'a repeated observation is that the display cable and wall port need repair in cooler a the physical infrastructure needs attention without any warning notice at 17:44 case 1398',utility,17,43,60,1,Infrastructure
'students report that the wifi signal is unstable for several devices in g1 after normal troubleshooting was attempted during a regular teaching period at 9:38 case 1400',academic,9,57,39,1,Network
'during the latest session the common area is overcrowded in cl15-a campus operations are being disrupted and several students are affected at 18:30 case 1401',lab,18,46,76,5,Other
'today we noticed that seating capacity is insufficient during the meal break in cl22-b the food service operation is affected after normal troubleshooting was attempted at 16:31 case 1402',lab,16,85,58,4,Canteen
'an urgent maintenance check is needed because a switchboard becomes warm during operation in g2 the electrical supply needs inspection near the main entrance to the space at 11:39 case 1403',academic,11,69,68,4,Electrical
'please investigate because several systems freeze during compilation in academic office laboratory equipment availability is affected although nearby rooms remain usable at 12:20 case 1405',office,12,100,56,1,Lab_Equipment
'a repeated observation is that laboratory equipment reports a calibration error in gym and it interrupts scheduled teaching and several students are affected at 13:51 case 1406',sports,13,49,45,3,Lab_Equipment
'an urgent maintenance check is needed because standing water is creating an unhygienic patch in washroom 1 and staff assistance has been requested and staff assistance has been requested at 16:42 case 1407',utility,16,39,57,3,Cleanliness
'please investigate because several systems freeze during compilation in h4 corridor 2 while another campus service remains normal and staff assistance has been requested at 10:53 case 1408',hostel,10,58,49,5,Lab_Equipment
'today we noticed that charging points are unavailable in ff6 the electrical supply needs inspection and the issue lasts more than ten minutes at 13:27 case 1409',academic,13,69,67,1,Other
'a repeated observation is that the display cable and wall port need repair in student parking after normal troubleshooting was attempted and the condition has become more frequent at 16:01 case 1410',outdoor,16,33,58,2,Infrastructure
'a repeated observation is that a power socket is loose and unsafe in ts11 the electrical supply needs inspection and the condition has become more frequent at 17:30 case 1411',academic,17,61,63,4,Electrical
'an urgent maintenance check is needed because video lectures buffer on the campus connection in h4 common room the network service is affected without any warning notice at 18:25 case 1412',hostel,18,35,59,2,Network
'for the second time this week the cleaning schedule appears to have been missed in cl15-a this is a hygiene and cleanliness concern and several students are affected at 16:27 case 1413',lab,16,54,63,3,Other
'for the second time this week order processing has stopped at one counter in counter a and staff assistance has been requested and it interrupts scheduled teaching at 15:25 case 1414',food,15,25,55,5,Canteen
'please investigate because the campus network drops repeatedly during class in billing counter the network service is affected and several students are affected at 12:02 case 1415',food,12,57,48,2,Network
'please investigate because the projector loses its input after a few minutes in g2 during a regular teaching period after normal troubleshooting was attempted at 12:37 case 1416',academic,12,80,70,3,Infrastructure
'staff were informed that online resources time out during the session in reception and staff assistance has been requested and it interrupts scheduled teaching at 18:37 case 1417',office,18,56,70,4,Network
'for the second time this week the device driver is missing from the workstation in cl3-b laboratory equipment availability is affected and the condition has become more frequent at 15:19 case 1419',lab,15,28,65,2,Lab_Equipment
'for the second time this week the lecture-room screen does not lower correctly in academic office without any warning notice and staff assistance has been requested at 13:19 case 1420',office,13,93,51,2,Infrastructure
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in cr102 laboratory equipment availability is affected after normal troubleshooting was attempted at 16:24 case 1422',academic,16,39,55,2,Lab_Equipment
'please investigate because the drinking-water dispenser is empty in ts18 the water service needs attention while another campus service remains normal at 10:22 case 1423',academic,10,56,38,2,Water
'a repeated observation is that the nearest water point is not operational in group study the water service needs attention and the condition has become more frequent at 14:53 case 1424',library,14,90,45,1,Water
'for the second time this week water is collecting beneath the dispenser in gate 1 during a regular teaching period during a regular teaching period at 15:07 case 1425',outdoor,15,44,57,3,Water
'please investigate because the ceiling fans are not operating in g2 the electrical supply needs inspection while the area is moderately occupied at 14:12 case 1426',academic,14,100,66,3,Electrical
'staff were informed that online resources time out during the session in dining hall without any warning notice and several students are affected at 14:08 case 1427',food,14,76,55,3,Network
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in cl3-a near the main entrance to the space during a regular teaching period at 16:35 case 1428',lab,16,50,48,2,Lab_Equipment
'during the latest session lights flicker repeatedly during use in cs2 the electrical supply needs inspection and the issue lasts more than ten minutes at 17:29 case 1429',academic,17,52,62,3,Electrical
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in cl3-a and the condition has become more frequent and it interrupts scheduled teaching at 17:25 case 1431',lab,17,97,47,5,Canteen
'a repeated observation is that the queue extends into the walking area in gh common room the food service operation is affected near the main entrance to the space at 12:22 case 1434',hostel,12,96,63,2,Canteen
'staff were informed that an electrical panel is making an unusual sound in gh corridor 1 and staff assistance has been requested near the main entrance to the space at 15:25 case 1435',hostel,15,74,36,1,Electrical
'staff were informed that the writing surface is damaged and difficult to use in ts17 after normal troubleshooting was attempted and several students are affected at 15:12 case 1436',academic,15,82,47,1,Infrastructure
'please investigate because the campus network drops repeatedly during class in group study the network service is affected although nearby rooms remain usable at 9:02 case 1437',library,9,93,51,4,Network
'for the second time this week the wired connection cannot reach institute services in backstage the network service is affected although nearby rooms remain usable at 16:48 case 1438',common,16,49,51,4,Network
'an urgent maintenance check is needed because video lectures buffer on the campus connection in gym and it interrupts scheduled teaching without any warning notice at 14:37 case 1439',sports,14,41,45,1,Network
'for the second time this week order processing has stopped at one counter in cl22-a the food service operation is affected while another campus service remains normal at 15:27 case 1440',lab,15,90,56,4,Canteen
'staff were informed that billing and collection lines are merging into one queue in cs2 and staff assistance has been requested and it interrupts scheduled teaching at 14:59 case 1441',academic,14,86,60,1,Canteen
'for the second time this week order processing has stopped at one counter in food court the food service operation is affected although nearby rooms remain usable at 14:23 case 1442',food,14,100,54,4,Canteen
'please investigate because several systems freeze during compilation in cr202 and several students are affected after normal troubleshooting was attempted at 15:42 case 1443',academic,15,38,57,2,Lab_Equipment
'today we noticed that seating capacity is insufficient during the meal break in cl3-b and several students are affected near the main entrance to the space at 8:39 case 1444',lab,8,5,52,1,Canteen
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in basketball court and it interrupts scheduled teaching while another campus service remains normal at 10:23 case 1446',sports,10,68,49,3,Lab_Equipment
'today we noticed that charging points are unavailable in washroom g the electrical supply needs inspection and it interrupts scheduled teaching at 16:39 case 1448',utility,16,51,50,1,Electrical
'a repeated observation is that a power socket is loose and unsafe in h5 corridor 2 near the main entrance to the space and it interrupts scheduled teaching at 16:09 case 1449',hostel,16,56,81,4,Electrical
'students report that water is leaking into the walking area in gym near the main entrance to the space near the main entrance to the space at 18:44 case 1451',sports,18,66,67,2,Water
'please investigate because the drinking-water dispenser is empty in g3 and staff assistance has been requested although nearby rooms remain usable at 15:33 case 1452',academic,15,77,71,2,Water
'an urgent maintenance check is needed because the lab printer is unavailable to student systems in ece-202 laboratory equipment availability is affected and it interrupts scheduled teaching at 17:01 case 1453',lab,17,54,29,3,Lab_Equipment
'staff were informed that an electrical panel is making an unusual sound in security post and the issue lasts more than ten minutes without any warning notice at 16:32 case 1456',outdoor,16,30,74,2,Electrical
'please investigate because the service queue is moving very slowly in cl15-b while the area is moderately occupied and several students are affected at 12:08 case 1458',lab,12,23,37,2,Canteen
'staff were informed that billing and collection lines are merging into one queue in food court the food service operation is affected without any warning notice at 18:23 case 1459',food,18,20,47,1,Canteen
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in visitor parking after normal troubleshooting was attempted near the main entrance to the space at 8:32 case 1460',outdoor,8,41,79,3,Canteen
'students report that only one billing counter is open during the rush in cr102 the food service operation is affected while another campus service remains normal at 16:33 case 1461',academic,16,65,61,2,Canteen
'an urgent maintenance check is needed because the lunch rush is blocking the entrance in gym the food service operation is affected and the issue lasts more than ten minutes at 13:20 case 1462',sports,13,94,64,2,Canteen
'please investigate because several systems freeze during compilation in h5 corridor 2 during a regular teaching period although nearby rooms remain usable at 10:01 case 1463',hostel,10,62,55,1,Lab_Equipment
'during the latest session water pressure is too low for normal use in cr425 the water service needs attention during a regular teaching period at 9:11 case 1464',academic,9,64,81,4,Water
'an urgent maintenance check is needed because a switchboard becomes warm during operation in ts11 and the condition has become more frequent and staff assistance has been requested at 16:51 case 1465',academic,16,71,44,3,Electrical
'for the second time this week water is collecting beneath the dispenser in gym the water service needs attention without any warning notice at 11:48 case 1466',sports,11,57,44,3,Water
'for the second time this week order processing has stopped at one counter in cl15-a the food service operation is affected after normal troubleshooting was attempted at 14:14 case 1467',lab,14,98,61,5,Canteen
'an urgent maintenance check is needed because signage for the room is missing in reception while the area is moderately occupied after normal troubleshooting was attempted at 16:44 case 1468',office,16,66,56,3,Infrastructure
'for the second time this week water is collecting beneath the dispenser in cl1-b during a regular teaching period while the area is moderately occupied at 13:17 case 1469',lab,13,54,66,3,Water
'a repeated observation is that the queue extends into the walking area in gate 1 the food service operation is affected near the main entrance to the space at 12:42 case 1470',outdoor,12,47,66,2,Canteen
'a repeated observation is that the nearest water point is not operational in h4 corridor 2 the water service needs attention after normal troubleshooting was attempted at 9:10 case 1471',hostel,9,66,52,3,Water
'for the second time this week water is collecting beneath the dispenser in backstage the water service needs attention while another campus service remains normal at 13:08 case 1473',common,13,88,49,1,Water
'during the latest session students cannot authenticate to the wireless network in h5 corridor 1 the network service is affected and the condition has become more frequent at 11:23 case 1474',hostel,11,100,64,2,Network
'staff were informed that a tap continues running after it is closed in h4 common room the water service needs attention and staff assistance has been requested at 18:22 case 1475',hostel,18,100,34,2,Water
'an urgent maintenance check is needed because signage for the room is missing in indoor court and several students are affected while another campus service remains normal at 13:05 case 1476',sports,13,58,45,1,Infrastructure
'please investigate because the campus network drops repeatedly during class in cl3-b the network service is affected near the main entrance to the space at 8:19 case 1478',lab,8,77,36,3,Network
'staff were informed that an unattended item is obstructing the walkway in security post while another campus service remains normal during a regular teaching period at 8:30 case 1479',outdoor,8,44,81,1,Other
'today we noticed that multiple computers show storage errors in cl15-a while another campus service remains normal and it interrupts scheduled teaching at 14:47 case 1480',lab,14,34,51,2,Lab_Equipment
'for the second time this week the device driver is missing from the workstation in student parking and several students are affected and several students are affected at 13:02 case 1482',outdoor,13,64,61,5,Lab_Equipment
'students report that waste bins are overflowing into the corridor in cr201 near the main entrance to the space and staff assistance has been requested at 12:55 case 1483',academic,12,85,72,3,Cleanliness
'staff were informed that an unattended item is obstructing the walkway in visitor parking after normal troubleshooting was attempted after normal troubleshooting was attempted at 13:44 case 1484',outdoor,13,70,39,4,Other
'for the second time this week the wired connection cannot reach institute services in ts18 and it interrupts scheduled teaching and staff assistance has been requested at 8:12 case 1485',academic,8,58,43,5,Network
'staff were informed that the writing surface is damaged and difficult to use in h4 corridor 1 without any warning notice although nearby rooms remain usable at 15:08 case 1486',hostel,15,62,83,1,Infrastructure
'today we noticed that charging points are unavailable in cl15-a the electrical supply needs inspection and it interrupts scheduled teaching at 13:26 case 1487',lab,13,100,74,3,Electrical
'students report that a monitor and keyboard are not detected in cr201 laboratory equipment availability is affected without any warning notice at 18:46 case 1488',academic,18,67,47,3,Lab_Equipment
'a repeated observation is that the wash area needs urgent sanitation in h5 common room this is a hygiene and cleanliness concern after normal troubleshooting was attempted at 16:24 case 1489',hostel,16,69,28,1,Cleanliness
'today we noticed that the corridor has a persistent hygiene problem in g5 near the main entrance to the space while another campus service remains normal at 11:45 case 1490',academic,11,81,51,5,Cleanliness
'please investigate because the campus network drops repeatedly during class in cl3-a near the main entrance to the space and staff assistance has been requested at 12:13 case 1492',lab,12,86,36,2,Network
'for the second time this week the wired connection cannot reach institute services in visitor parking the network service is affected and the issue lasts more than ten minutes at 14:12 case 1493',outdoor,14,93,42,2,Network
'staff were informed that an unattended item is obstructing the walkway in cr102 campus operations are being disrupted although nearby rooms remain usable at 17:16 case 1494',academic,17,45,66,4,Other
'for the second time this week the help desk is closed during published hours in indoor court campus operations are being disrupted and it interrupts scheduled teaching at 8:10 case 1495',sports,8,73,63,3,Other
'a repeated observation is that the wash area needs urgent sanitation in cooler a and several students are affected and several students are affected at 8:38 case 1496',utility,8,63,31,3,Cleanliness
'today we noticed that ceiling plaster appears loose near the entrance in cr201 the physical infrastructure needs attention while another campus service remains normal at 14:30 case 1497',academic,14,53,62,3,Infrastructure
'students report that the wifi signal is unstable for several devices in cl22-b and several students are affected without any warning notice at 14:15 case 1498',lab,14,81,80,2,Network
'an urgent maintenance check is needed because signage for the room is missing in cl3-a near the main entrance to the space and the issue lasts more than ten minutes at 14:26 case 1499',lab,14,49,49,2,Infrastructure
'staff were informed that online resources time out during the session in ts12 the network service is affected during a regular teaching period at 15:15 case 1500',academic,15,1,42,4,Network
'students report that water is leaking into the walking area in washroom 1 the water service needs attention and the issue lasts more than ten minutes at 18:57 case 1501',utility,18,84,76,2,Water
'during the latest session the classroom door cannot close safely in gh corridor 1 and the issue lasts more than ten minutes while another campus service remains normal at 15:56 case 1502',hostel,15,56,57,5,Infrastructure
'a repeated observation is that laboratory equipment reports a calibration error in cl3-b and the condition has become more frequent and the condition has become more frequent at 8:23 case 1503',lab,8,59,69,2,Lab_Equipment
